Zip Code,2019 House Mean,2019 Dec House Price,Social Studies Mean,Social Studies Median
32003,290198.5,290356.1666666667,95.5,95.5
32008,131268.0,131463.91666666666,64.0,64.0
32011,224635.0,225349.33333333334,75.5,75.5
32024,183217.0,182597.66666666666,96.0,96.0
32025,134580.5,134160.83333333334,67.0,67.0
32034,367891.0,367955.6666666667,77.0,77.0
32038,160544.0,160999.83333333334,75.0,75.0
32040,210956.5,210877.66666666666,77.0,77.0
32043,222634.5,222673.33333333334,79.66666666666667,78.0
32046,198324.5,197869.58333333334,81.0,81.0
32052,85857.5,85639.83333333333,42.0,42.0
32054,141239.0,141944.66666666666,81.0,81.0
32063,193063.5,193152.41666666666,72.0,72.0
32064,91577.0,91568.58333333333,67.0,67.0
32065,229041.5,229108.33333333334,82.0,83.0
32066,128647.0,128583.25,70.0,70.0
32068,207520.0,207461.75,77.66666666666667,79.0
32073,199566.5,200036.58333333334,79.5,77.5
32081,415639.5,415484.25,92.66666666666667,93.0
32082,611176.5,611820.5,97.0,97.0
32084,242277.0,242385.66666666666,82.75,79.5
32086,249747.5,249594.58333333334,82.0,82.0
32091,121306.0,120896.0,65.5,65.5
32092,306850.5,306647.4166666667,91.0,91.0
32097,234026.5,233974.08333333334,75.5,75.5
32112,108849.5,109343.33333333333,54.0,54.0
32113,185339.5,185314.33333333334,69.0,69.0
32114,124224.5,123634.0,61.5,61.5
32117,136018.5,135577.5,68.0,68.0
32118,231305.5,231563.16666666666,76.0,76.0
32127,235186.0,235657.91666666666,58.0,58.0
32128,305210.0,305386.25,79.0,79.0
32129,196014.5,196748.5,71.5,71.5
32134,88148.5,88239.16666666667,49.0,49.0
32137,255356.0,254841.5,76.0,76.0
32140,133202.0,132538.91666666666,93.0,93.0
32148,99593.5,99403.41666666667,62.5,62.5
32162,279557.5,279802.25,77.0,77.0
32164,213308.0,212826.5,71.33333333333333,72.0
32168,240128.0,240619.41666666666,74.0,74.0
32174,256334.0,256717.58333333334,81.0,81.0
32177,111453.5,111141.08333333333,50.5,46.0
32180,187914.0,188107.66666666666,48.0,48.0
32202,82132.5,82053.83333333333,88.0,88.0
32205,174346.5,174068.91666666666,73.0,73.0
32206,54579.0,55345.166666666664,61.666666666666664,59.0
32207,186900.5,187201.25,81.33333333333333,92.0
32208,100189.0,100170.5,52.0,52.0
32209,52557.0,53139.666666666664,60.714285714285715,59.0
32210,149734.0,149838.83333333334,60.5,61.0
32211,155572.0,156260.91666666666,59.0,58.0
32216,181374.5,181652.08333333334,71.66666666666667,78.0
32217,224408.0,224999.41666666666,69.5,69.5
32218,190258.0,190205.91666666666,61.25,67.0
32221,190767.5,190809.66666666666,65.0,65.0
32225,248215.0,248648.91666666666,62.0,62.0
32233,307930.5,308285.5,81.0,81.0
32234,177634.5,177685.75,66.0,66.0
32244,169666.0,169539.0,53.0,53.0
32246,220289.5,220391.0,85.33333333333333,82.0
32250,382898.0,383529.75,94.0,94.0
32254,60467.5,60890.583333333336,91.66666666666667,92.0
32256,329643.0,329902.25,70.77777777777777,75.0
32257,233024.5,233379.0,84.2,87.0
32258,262501.5,262383.0,85.5,85.5
32259,345947.5,345729.25,92.66666666666667,92.5
32266,439585.0,441420.25,87.0,87.0
32277,186854.5,187240.91666666666,64.0,64.0
32301,139815.5,139756.0,80.0,80.0
32303,154842.5,154827.33333333334,74.0,76.0
32304,95683.0,95963.66666666667,70.5,70.5
32305,104285.0,104455.08333333333,63.0,63.0
32308,227557.5,227740.33333333334,70.0,78.0
32309,271233.0,271170.4166666667,93.0,93.0
32310,91088.0,91142.41666666667,63.0,63.0
32311,212712.5,212457.66666666666,84.0,84.0
32312,310849.5,310691.25,91.5,91.5
32317,280024.0,279930.3333333333,85.0,85.0
32320,167524.0,167667.33333333334,84.0,84.0
32321,114300.0,114355.0,77.5,77.5
32327,185158.0,185183.25,81.0,84.0
32328,523570.5,523687.9166666667,42.0,42.0
32333,178090.0,178366.58333333334,80.0,80.0
32334,91759.0,92274.33333333333,72.0,72.0
32340,103146.0,103166.83333333333,70.0,68.0
32344,169526.5,169226.83333333334,58.5,58.5
32347,110716.0,110925.58333333333,65.5,65.5
32351,83426.0,83656.16666666667,69.0,65.0
32401,128366.0,129174.16666666667,60.4,63.0
32404,168365.0,168831.33333333334,80.0,85.0
32405,178994.5,179650.75,95.25,96.0
32407,241030.5,241783.08333333334,78.0,78.0
32409,235713.0,236491.33333333334,84.0,84.0
32413,291496.5,292303.9166666667,68.0,68.0
32421,111877.0,111665.16666666667,78.0,78.0
32424,88673.0,88598.25,74.5,74.5
32425,108222.5,108324.91666666667,69.66666666666667,76.0
32428,116741.5,116800.75,68.0,68.0
